"V1"	"V2"	"sample.id"	"spawning.season"	"cluster"	"cluster.jake"
-0.0171801017709209	0.000969205464587456	"Hastkar_518"	NA	"Spring-like"	1
0.0436868771220412	0.0438459106045561	"Hastkar_519"	NA	"Intermediate"	NA
0.0335536170446981	0.0070474423015839	"Hastkar_520"	NA	"Intermediate"	NA
-0.0231192529604495	-8.47787642510453e-05	"Hastkar_521"	NA	"Spring-like"	NA
-0.0223650477381027	-0.000797394509139233	"Hastkar_522"	NA	"Spring-like"	1
-0.0231319461006869	0.00399371959078746	"Hastkar_523"	NA	"Spring-like"	NA
-0.0100092111027699	-0.00765983106952921	"Hastkar_524"	NA	"Spring-like"	1
-0.00885320251220521	0.00621899884095465	"Hastkar_525"	NA	"Spring-like"	NA
-0.0223342897555992	-0.0007072093707523	"Hastkar_526"	NA	"Spring-like"	1
-0.0125780633033492	0.00425379157887924	"Hastkar_527"	NA	"Spring-like"	NA
0.0853754989189886	0.0383219564422933	"Hastkar_528"	NA	"Autumn-like"	2
0.0260880263672243	0.0112851477130623	"Hastkar_529"	NA	"Intermediate"	NA
-0.0229177834871637	0.00304720132703621	"Hastkar_530"	NA	"Spring-like"	1
-0.0148867547832959	0.00578654073410161	"Hastkar_531"	NA	"Spring-like"	1
-0.0231253478055944	0.00372161502158422	"Hastkar_532"	NA	"Spring-like"	NA
-0.0226446099043374	0.000677699945899735	"Hastkar_533"	NA	"Spring-like"	NA
-0.0232334772987107	-0.001945998400924	"Hastkar_534"	NA	"Spring-like"	1
-0.0161651601601609	0.00285675377956042	"Hastkar_535"	NA	"Spring-like"	NA
0.0278223813263554	0.0321774392072133	"Hastkar_536"	NA	"Intermediate"	NA
0.0518340328257	-0.0371885912530681	"Hastkar_537"	NA	NA	NA
0.0234135091131885	0.022898709036124	"Hastkar_538"	NA	"Intermediate"	NA
-0.00906994326346759	0.00640303977144244	"Hastkar_539"	NA	"Spring-like"	1
0.00829962955679487	0.010578071906372	"Hastkar_540"	NA	NA	NA
0.0016786998155372	0.00818204358223362	"Hastkar_541"	NA	NA	NA
-0.0210071530408192	0.0101182750168572	"Hastkar_542"	NA	"Spring-like"	NA
-0.0161121072807041	-0.00287122848812793	"Hastkar_543"	NA	"Spring-like"	1
-0.0153859935722555	0.00533572033833942	"Hastkar_544"	NA	"Spring-like"	NA
-0.0102156000349514	-0.00483432789781749	"Hastkar_545"	NA	"Spring-like"	NA
0.0102327923538433	0.00468587695325575	"Hastkar_546"	NA	NA	1
-0.0222381546952142	0.00297895856525815	"Hastkar_547"	NA	"Spring-like"	NA
-0.00401806406192034	0.00381245557838416	"Hastkar_548"	NA	"Spring-like"	NA
0.010246117613857	0.00691403942834094	"Hastkar_549"	NA	NA	NA
-0.0106862323493058	-0.000682955859771141	"Hastkar_550"	NA	"Spring-like"	NA
-0.0194990179049147	0.00528039355875755	"Hastkar_551"	NA	"Spring-like"	NA
-0.018924970940399	-0.00214011217486548	"Hastkar_552"	NA	"Spring-like"	NA
-0.0217010880970321	-0.00673994979755611	"Hastkar_553"	NA	"Spring-like"	1
